title,link,citation,summary,resource_title,file_format
Machine learning approaches in study of multiple sclerosis disease through magnetic resonance images,https://www.frontiersin.org/articles/10.3389/fimmu.2021.700582/full,21,"F Moazami, A Lefevre-Utile, C Papaloukas… - Frontiers in …, 2021 - frontiersin.org",frontiersin.org,HTML
CNN for multiple sclerosis lesion segmentation: How many patients for a fully supervised method?,https://ieeexplore.ieee.org/abstract/document/9604859/,2,"A Fenneteau, P Bourdon, D Helbert… - … on Advances in …, 2021 - ieeexplore.ieee.org",hal.science,PDF
A fully automated pipeline for brain structure segmentation in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S2213158220301431,5,"S González-Villà, A Oliver, Y Huo, X Lladó… - NeuroImage: Clinical, 2020 - Elsevier",sciencedirect.com,HTML
Interpretable deep learning as a means for decrypting disease signature in multiple sclerosis,https://iopscience.iop.org/article/10.1088/1741-2552/ac0f4b/meta,16,"F Cruciani, L Brusini, M Zucchelli… - Journal of Neural …, 2021 - iopscience.iop.org",researchgate.net,PDF
Image Segmentation with Priority Based Apposite Feature Extraction Model for Detection of Multiple Sclerosis in MR Images Using Deep Learning Technique.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=07650019&AN=156790824&h=xL6I6FYM0TiB5izJqxK9Q3%2FIWrrdgy1aqz%2FrtrKSFxK2eAwbE8rBD9HGA12VnIhJsM1CZV%2FLW5CZcSw%2Bbrt6%2BQ%3D%3D&crl=c,2,"KN Rode, RJ Siddamallaiah - Traitement du Signal, 2022 - search.ebscohost.com",academia.edu,PDF
CNN detection of new and enlarging multiple sclerosis lesions from longitudinal MRI using subtraction images,https://ieeexplore.ieee.org/abstract/document/9098554/,20,"NM Sepahvand, DL Arnold… - 2020 IEEE 17th …, 2020 - ieeexplore.ieee.org",,
Emerging deep learning techniques using magnetic resonance imaging data applied in multiple sclerosis and clinical isolated syndrome patients,https://www.spandidos-publications.com/10.3892/etm.2021.10583,7,"EE Kontopodis, E Papadaki… - Experimental and …, 2021 - spandidos-publications.com",spandidos-publications.com,HTML
Delve into multiple sclerosis (MS) lesion exploration: a modified attention U-net for MS lesion segmentation in brain MRI,https://www.sciencedirect.com/science/article/pii/S0010482522001949,19,"M Hashemi, M Akhbari, C Jutten - Computers in Biology and Medicine, 2022 - Elsevier",,
Spatio-temporal learning from longitudinal data for multiple sclerosis lesion segmentation,https://link.springer.com/chapter/10.1007/978-3-030-72084-1_11,20,"S Denner, A Khakzar, M Sajid, M Saleh… - … , Multiple Sclerosis …, 2021 - Springer",arxiv.org,PDF
Acu-net: A 3d attention context u-net for multiple sclerosis lesion segmentation,https://ieeexplore.ieee.org/abstract/document/9054616/,18,"G Kang, B Hou, Y Ma, F Labeau… - ICASSP 2020-2020 IEEE …, 2020 - ieeexplore.ieee.org",,
Rsanet: Recurrent slice-wise attention network for multiple sclerosis lesion segmentation,https://link.springer.com/chapter/10.1007/978-3-030-32248-9_46,25,"H Zhang, J Zhang, Q Zhang, J Kim, S Zhang… - … Image Computing and …, 2019 - Springer",arxiv.org,PDF
A deep learning algorithm for white matter hyperintensity lesion detection and segmentation,https://link.springer.com/article/10.1007/s00234-021-02820-w,11,"Y Zhang, Y Duan, X Wang, Z Zhuo, S Haller, F Barkhof… - Neuroradiology, 2022 - Springer",ucl.ac.uk,PDF
New lesion segmentation for multiple sclerosis brain images with imaging and lesion-aware augmentation,https://www.frontiersin.org/articles/10.3389/fnins.2022.1007453/full,10,"BD Basaran, PM Matthews, W Bai - Frontiers in Neuroscience, 2022 - frontiersin.org",frontiersin.org,HTML
Cnn prediction of future disease activity for multiple sclerosis patients from baseline mri and lesion labels,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_6,14,"NM Sepahvand, T Hassner, DL Arnold… - … : Glioma, Multiple Sclerosis …, 2019 - Springer",,
One-shot domain adaptation in multiple sclerosis lesion segmentation using convolutional neural networks,https://www.sciencedirect.com/science/article/pii/S2213158218303863,130,"S Valverde, M Salem, M Cabezas, D Pareto… - NeuroImage: Clinical, 2019 - Elsevier",sciencedirect.com,HTML
Applying deep learning to accelerated clinical brain magnetic resonance imaging for multiple sclerosis,https://www.frontiersin.org/articles/10.3389/fneur.2021.685276/full,6,"A Mani, T Santini, R Puppala, M Dahl… - Frontiers in …, 2021 - frontiersin.org",frontiersin.org,HTML
"Chan A., Simultaneous Lesion and Neuroanatomy Segmentation in Multiple Sclerosis Using Deep Neural Networks",,1,"R McKinley, R Wepfer, F Aschwanden, L Grunder… - arXiv preprint arXiv …, 2019",,
Registration based data augmentation for multiple sclerosis lesion segmentation,https://ieeexplore.ieee.org/abstract/document/8946022/,8,"AA Abolvardi, L Hamey… - 2019 Digital Image …, 2019 - ieeexplore.ieee.org",,
Automated Multiple Sclerosis Lesion Segmentation on MR Images via Mask R-CNN,https://ieeexplore.ieee.org/abstract/document/9604593/,2,"MS Yıldırım, E Dandıl - 2021 5th International Symposium on …, 2021 - ieeexplore.ieee.org",,
Using convolutional encoder networks to determine the optimal magnetic resonance image for the automatic segmentation of multiple sclerosis,https://www.mdpi.com/2076-3417/11/18/8335,5,"S Ghosh, M Huo, MSA Shawkat, S McCalla - Applied Sciences, 2021 - mdpi.com",mdpi.com,PDF
The emerging role of artificial intelligence in multiple sclerosis imaging,https://journals.sagepub.com/doi/abs/10.1177/1352458520966298,34,"HMR Afzal, S Luo, S Ramadan… - Multiple Sclerosis …, 2022 - journals.sagepub.com",,
A dense residual U-net for multiple sclerosis lesions segmentation from multi-sequence 3D MR images,https://www.sciencedirect.com/science/article/pii/S1386505622002799,5,"B Sarica, DZ Seker, B Bayram - International Journal of Medical Informatics, 2023 - Elsevier",,
Segmentation method of multiple sclerosis lesions based on 3D‐CNN networks,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2019.0880,8,"Y Xiang, H Liu, S Wang, L Ma, X Xiong… - IET Image …, 2020 - Wiley Online Library",wiley.com,PDF
Improving multiple sclerosis lesion boundaries segmentation by convolutional neural networks with focal learning,https://link.springer.com/chapter/10.1007/978-3-030-50516-5_16,6,"G Ulloa, A Veloz, H Allende-Cid, H Allende - Image Analysis and …, 2020 - Springer",,
Investigation of deep-learning-driven identification of multiple sclerosis patients based on susceptibility-weighted images using relevance analysis,https://www.frontiersin.org/articles/10.3389/fnins.2020.609468/full,33,"A Lopatina, S Ropele, R Sibgatulin… - Frontiers in …, 2020 - frontiersin.org",frontiersin.org,HTML
Joint segmentation of multiple sclerosis lesions and brain anatomy in MRI scans of any contrast and resolution with CNNs,https://ieeexplore.ieee.org/abstract/document/9434127/,8,"B Billot, S Cerri, K Van Leemput… - 2021 IEEE 18th …, 2021 - ieeexplore.ieee.org",nih.gov,HTML
Multiple sclerosis cortical lesion detection with deep learning at ultra‐high‐field MRI,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.4730,7,"F La Rosa, ES Beck, J Maranzano… - NMR in …, 2022 - Wiley Online Library",wiley.com,PDF
Brain structure segmentation in the presence of multiple sclerosis lesions,https://www.sciencedirect.com/science/article/pii/S2213158219300592,25,"S González-Villà, A Oliver, Y Huo, X Lladó… - NeuroImage: Clinical, 2019 - Elsevier",sciencedirect.com,HTML
Scanner invariant multiple sclerosis lesion segmentation from MRI,https://ieeexplore.ieee.org/abstract/document/9098721/,45,"S Aslani, V Murino, M Dayan, R Tam… - 2020 IEEE 17th …, 2020 - ieeexplore.ieee.org",arxiv.org,PDF
Automatic Segmentation of Multiple Sclerosis Lesions in Brain MR Images Using Ensemble Machine Learning,https://ieeexplore.ieee.org/abstract/document/9447657/,2,"R ElSebely, AH Yousef, AA Salem… - … Mobile, Intelligent, and …, 2021 - ieeexplore.ieee.org",,
Automated detection and segmentation of multiple sclerosis lesions using ultra–high-field MP2RAGE,https://journals.lww.com/investigativeradiology/fulltext/2019/06000/Automated_Detection_and_Segmentation_of_Multiple.6.aspx,33,"MJ Fartaria, P Sati, A Todea, EW Radue… - Investigative …, 2019 - journals.lww.com",nih.gov,HTML
A fully convolutional neural network for new T2-w lesion detection in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S2213158219304954,58,"M Salem, S Valverde, M Cabezas, D Pareto, A Oliver… - NeuroImage: Clinical, 2020 - Elsevier",sciencedirect.com,HTML
Automated detection of cortical lesions in multiple sclerosis patients with 7T MRI,https://link.springer.com/chapter/10.1007/978-3-030-59719-1_57,11,"F La Rosa, ES Beck, A Abdulkadir, JP Thiran… - … Image Computing and …, 2020 - Springer",arxiv.org,PDF
Longitudinal multiple sclerosis lesion segmentation using pre-activation U-Net,https://inria.hal.science/hal-03358968/file/MSSEG_Challenge_Proceedings.pdf#page=54,3,"P Ashtari, B Barile, S Van Huffel… - … : Multiple sclerosis …, 2021 - inria.hal.science",hal.science,PDF
Deep learning segmentation of orbital fat to calibrate conventional MRI for longitudinal studies,https://www.sciencedirect.com/science/article/pii/S105381191931033X,15,"RA Brown, D Fetco, R Fratila, G Fadda, S Jiang… - Neuroimage, 2020 - Elsevier",sciencedirect.com,HTML
Deep learning-based method to differentiate neuromyelitis optica spectrum disorder from multiple sclerosis,https://www.frontiersin.org/articles/10.3389/fneur.2020.599042/full,28,"H Kim, Y Lee, YH Kim, YM Lim, JS Lee, J Woo… - Frontiers in …, 2020 - frontiersin.org",frontiersin.org,HTML
An adaptive semi-automated integrated system for multiple sclerosis lesion segmentation in longitudinal mri scans based on a convolutional neural network,https://link.springer.com/chapter/10.1007/978-3-030-89128-2_25,4,"A Georgiou, CP Loizou, A Nicolaou, M Pantzaris… - … on Computer Analysis …, 2021 - Springer",researchgate.net,PDF
A longitudinal method for simultaneous whole-brain and lesion segmentation in multiple sclerosis,https://link.springer.com/chapter/10.1007/978-3-030-66843-3_12,15,"S Cerri, A Hoopes, DN Greve, M Mühlau… - Machine Learning in …, 2020 - Springer",arxiv.org,PDF
A survey of deep learning methods for multiple sclerosis identification using brain MRI images,https://link.springer.com/article/10.1007/s00521-022-07099-3,11,"M Sah, C Direkoglu - Neural Computing and Applications, 2022 - Springer",,
Unsupervised domain adaptation with optimal transport in multi-site segmentation of multiple sclerosis lesions from MRI data,https://www.frontiersin.org/articles/10.3389/fncom.2020.00019/full,48,"A Ackaouy, N Courty, E Vallée… - Frontiers in …, 2020 - frontiersin.org",frontiersin.org,HTML
Cross attention densely connected networks for multiple sclerosis lesion segmentation,https://ieeexplore.ieee.org/abstract/document/8983149/,12,"B Hou, G Kang, X Xu, C Hu - 2019 IEEE International …, 2019 - ieeexplore.ieee.org",,
Icobrain ms 5.1: Combining unsupervised and supervised approaches for improving the detection of multiple sclerosis lesions,https://www.sciencedirect.com/science/article/pii/S2213158221001510,21,"M Rakić, S Vercruyssen, S Van Eyndhoven… - NeuroImage: Clinical, 2021 - Elsevier",sciencedirect.com,HTML
Multiple sclerosis lesions identification/segmentation in magnetic resonance imaging using ensemble cnn and uncertainty classification,https://www.academia.edu/download/88632957/2108.11791v1.pdf,5,"G Placidi, L Cinque, F Mignosi… - arXiv preprint arXiv …, 2021 - academia.edu",academia.edu,PDF
MSSEG-2 challenge proceedings: Multiple sclerosis new lesions segmentation challenge using a data management and processing infrastructure,https://inria.hal.science/hal-03358968/document,23,"O Commowick, F Cervenansky, F Cotton… - MICCAI 2021-24th …, 2021 - inria.hal.science",hal.science,PDF
A more interpretable classifier for multiple sclerosis,https://ieeexplore.ieee.org/abstract/document/9434074/,10,"V Wargnier-Dauchelle, T Grenier… - 2021 IEEE 18th …, 2021 - ieeexplore.ieee.org",hal.science,PDF
CVSnet: A machine learning approach for automated central vein sign assessment in multiple sclerosis,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.4283,35,"P Maggi, MJ Fartaria, J Jorge, F La Rosa… - NMR in …, 2020 - Wiley Online Library",nih.gov,HTML
A deep learning approach to predicting disease progression in multiple sclerosis using magnetic resonance imaging,https://www.ingentaconnect.com/content/wk/rli/2022/00000057/00000007/art00001,18,"L Storelli, M Azzimonti, M Gueye, C Vizzino… - Investigative …, 2022 - ingentaconnect.com",,
Automated volumetric assessment with artificial neural networks might enable a more accurate assessment of disease burden in patients with multiple sclerosis,https://link.springer.com/article/10.1007/s00330-019-06593-y,26,"G Brugnara, F Isensee, U Neuberger, D Bonekamp… - European …, 2020 - Springer",,
A contrast-adaptive method for simultaneous whole-brain and lesion segmentation in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S1053811920309563,64,"S Cerri, O Puonti, DS Meier, J Wuerfel, M Mühlau… - Neuroimage, 2021 - Elsevier",sciencedirect.com,HTML
Axial multi-layer perceptron architecture for automatic segmentation of choroid plexus in multiple sclerosis,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12032/1203208/Axial-multi-layer-perceptron-architecture-for-automatic-segmentation-of-choroid/10.1117/12.2612912.short,8,"M Schmidt-Mengin, VAG Ricigliano… - Medical Imaging …, 2022 - spiedigitallibrary.org",arxiv.org,PDF
Predicting conversion from clinically isolated syndrome to multiple sclerosis–An imaging-based machine learning approach,https://www.sciencedirect.com/science/article/pii/S2213158218303413,55,"H Zhang, E Alberts, V Pongratz, M Mühlau… - NeuroImage: Clinical, 2019 - Elsevier",sciencedirect.com,HTML
Lesion volume quantification using two convolutional neural networks in MRIs of multiple sclerosis patients,https://www.mdpi.com/2075-4418/12/2/230,9,"M de Oliveira, M Piacenti-Silva, FCG da Rocha… - Diagnostics, 2022 - mdpi.com",mdpi.com,HTML
A Vision-Based Framework for Predicting Multiple Sclerosis and Parkinson's Disease Gait Dysfunctions—A Deep Learning Approach,https://ieeexplore.ieee.org/abstract/document/9896159/,12,"R Kaur, RW Motl, R Sowers… - IEEE Journal of …, 2022 - ieeexplore.ieee.org",ieee.org,PDF
Improved particle swarm optimized deep convolutional neural network with super‐pixel clustering for multiple sclerosis lesion segmentation in brain MRI imaging,https://onlinelibrary.wiley.com/doi/abs/10.1002/cnm.3506,5,"R Krishna Priya, S Chacko - International Journal for Numerical …, 2021 - Wiley Online Library",,
… lesions in multiple sclerosis patients: intra-and inter-rater variability in comparison to a fully automated segmentation using 3D convolutional neural networks,https://link.springer.com/article/10.1007/s00330-021-08329-3,8,"J Krüger, AC Ostwaldt, L Spies, B Geisler… - European …, 2021 - Springer",,
Robust multiple sclerosis lesion inpainting with edge prior,https://link.springer.com/chapter/10.1007/978-3-030-59861-7_13,10,"H Zhang, R Bakshi, F Bagnato, I Oguz - Machine Learning in Medical …, 2020 - Springer",nih.gov,HTML
Automatic segmentation of spinal multiple sclerosis lesions: How to generalize across MRI contrasts?,https://arxiv.org/abs/2003.04377,1,"O Vincent, C Gros, JP Cohen, J Cohen-Adad - arXiv preprint arXiv …, 2020 - arxiv.org",arxiv.org,PDF
Reduced accuracy of MRI deep grey matter segmentation in multiple sclerosis: an evaluation of four automated methods against manual reference …,https://link.springer.com/article/10.1007/s00415-020-10023-1,13,"A de Sitter, T Verhoeven, J Burggraaff, Y Liu… - Journal of …, 2020 - Springer",springer.com,HTML
Saliency based deep neural network for automatic detection of gadolinium-enhancing multiple sclerosis lesions in brain MRI,https://link.springer.com/chapter/10.1007/978-3-030-46640-4_11,3,"J Durso-Finley, DL Arnold, T Arbel - Brainlesion: Glioma, Multiple Sclerosis …, 2020 - Springer",,
Multiple Sclerosis brain lesion segmentation with different architecture ensembles,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12036/1203625/Multiple-Sclerosis-brain-lesion-segmentation-with-different-architecture-ensembles/10.1117/12.2623302.short,3,"P Tohidi, SW Remedios, DL Greenman… - Medical Imaging …, 2022 - spiedigitallibrary.org",google.com,PDF
Grad-CAM helps interpret the deep learning models trained to classify multiple sclerosis types using clinical brain magnetic resonance imaging,https://www.sciencedirect.com/science/article/pii/S0165027021000339,70,"Y Zhang, D Hong, D McClement, O Oladosu… - Journal of Neuroscience …, 2021 - Elsevier",,
… segmentation of white matter hyperintensities: validation and comparison with state-of-the-art methods on both Multiple Sclerosis and elderly subjects,https://www.sciencedirect.com/science/article/pii/S2213158222000055,18,"P Tran, U Thoprakarn, E Gourieux, CL Dos Santos… - NeuroImage: Clinical, 2022 - Elsevier",sciencedirect.com,HTML
Improved algorithm for multiple sclerosis diagnosis in MRI using convolutional neural network,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2019.0366,12,"A Soltani, S Nasri - IET Image Processing, 2020 - Wiley Online Library",wiley.com,PDF
Deep-learning generated synthetic double inversion recovery images improve multiple sclerosis lesion detection,https://journals.lww.com/investigativeradiology/fulltext/2020/05000/deep_learning_generated_synthetic_double_inversion.9.aspx,40,"T Finck, H Li, L Grundl, P Eichinger… - Investigative …, 2020 - journals.lww.com",google.com,PDF
Assessment of artificial intelligence automatic multiple sclerosis lesion delineation tool for clinical use,https://link.springer.com/article/10.1007/s00062-021-01089-z,6,"AM Hindsholm, SP Cramer, HJ Simonsen… - Clinical …, 2021 - Springer",springer.com,HTML
RimNet: A deep 3D multimodal MRI architecture for paramagnetic rim lesion assessment in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S2213158220302497,33,"G Barquero, F La Rosa, H Kebiri, PJ Lu… - NeuroImage: Clinical, 2020 - Elsevier",sciencedirect.com,HTML
Automated MS lesion detection and segmentation in clinical workflow: a systematic review.,https://www.sciencedirect.com/science/article/pii/S2213158223001821,1,"F Spagnolo, A Depeursinge, S Schädelin, A Akbulut… - NeuroImage: Clinical, 2023 - Elsevier",sciencedirect.com,HTML
A deep learning approach to diagnosing multiple sclerosis from smartphone data,https://ieeexplore.ieee.org/abstract/document/9184949/,21,"P Schwab, W Karlen - IEEE Journal of Biomedical and Health …, 2020 - ieeexplore.ieee.org",ieee.org,PDF
Multiple sclerosis identification in brain MRI images using wavelet convolutional neural networks,https://onlinelibrary.wiley.com/doi/abs/10.1002/ima.22492,17,"A Alijamaat, A NikravanShalmani… - International journal of …, 2021 - Wiley Online Library",,
Online hard example mining vs. fixed oversampling strategy for segmentation of new multiple sclerosis lesions from longitudinal FLAIR MRI,https://www.frontiersin.org/articles/10.3389/fnins.2022.1004050/full,3,"M Schmidt-Mengin, T Soulier, M Hamzaoui… - Frontiers in …, 2022 - frontiersin.org",frontiersin.org,HTML
"Cortical lesions, central vein sign, and paramagnetic rim lesions in multiple sclerosis: Emerging machine learning techniques and future avenues",https://www.sciencedirect.com/science/article/pii/S2213158222002704,14,"F La Rosa, M Wynen, O Al-Louzi, ES Beck… - NeuroImage: Clinical, 2022 - Elsevier",sciencedirect.com,HTML
Hybrid topology of graph convolution and autoencoder deep network for multiple sclerosis lesion segmentation,https://ieeexplore.ieee.org/abstract/document/9395914/,7,"A Joshi, KK Sharma - 2021 International Conference on …, 2021 - ieeexplore.ieee.org",,
Automated claustrum segmentation in human brain MRI using deep learning,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.25655,11,"H Li, A Menegaux, B Schmitz‐Koep… - Human Brain …, 2021 - Wiley Online Library",wiley.com,PDF
Identifying multiple sclerosis subtypes using unsupervised machine learning and MRI data,https://www.nature.com/articles/s41467-021-22265-2,138,"A Eshaghi, AL Young, PA Wijeratne, F Prados… - Nature …, 2021 - nature.com",nature.com,HTML
MPRAGE to MP2RAGE UNI translation via generative adversarial network improves the automatic tissue and lesion segmentation in multiple sclerosis …,https://www.sciencedirect.com/science/article/pii/S0010482521000913,8,"F La Rosa, T Yu, G Barquero, JP Thiran… - Computers in Biology …, 2021 - Elsevier",sciencedirect.com,HTML
Estimating individual treatment effect on disability progression in multiple sclerosis using deep learning,https://www.nature.com/articles/s41467-022-33269-x,5,"JPR Falet, J Durso-Finley, B Nichyporuk… - Nature …, 2022 - nature.com",nature.com,HTML
Comparison of machine learning techniques on MS lesion segmentation,https://ieeexplore.ieee.org/abstract/document/8895202/,5,"AF Doğan, DG Duru - 2019 Medical Technologies Congress …, 2019 - ieeexplore.ieee.org",biyoklinikder.org,PDF
Multiple Sclerosis Lesions Segmentation in Magnetic Resonance Imaging using Ensemble Support Vector Machine (ESVM),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6943841/,6,"S HosseiniPanah, A Zamani, F Emadi… - Journal of Biomedical …, 2019 - ncbi.nlm.nih.gov",nih.gov,HTML
Fully automatic segmentation of the choroid in non-EDI OCT images of patients with multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S1877050922010092,3,"E López-Varela, N Barreira, NO Pascual… - Procedia Computer …, 2022 - Elsevier",sciencedirect.com,PDF
Artificial intelligence in the diagnosis of multiple sclerosis: A systematic review,https://www.sciencedirect.com/science/article/pii/S2211034822001882,14,"F Nabizadeh, S Masrouri, E Ramezannezhad… - Multiple Sclerosis and …, 2022 - Elsevier",,
A system for fully automated monitoring of lesion evolution over time in multiple sclerosis,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11597/115972D/A-system-for-fully-automated-monitoring-of-lesion-evolution-over/10.1117/12.2582156.short,4,"S Kuckertz, F Weiler, B Matusche… - Medical Imaging …, 2021 - spiedigitallibrary.org",,
Automatic framework for multiple sclerosis follow-up by magnetic resonance imaging for reducing contrast agents,https://link.springer.com/chapter/10.1007/978-3-030-30645-8_34,10,"G Placidi, L Cinque, M Polsinelli, A Splendiani… - Image Analysis and …, 2019 - Springer",,
Soft labeling by distilling anatomical knowledge for improved MS lesion segmentation,https://ieeexplore.ieee.org/abstract/document/8759518/,39,"E Kats, J Goldberger… - 2019 IEEE 16th …, 2019 - ieeexplore.ieee.org",arxiv.org,PDF
Fully automatic segmentation of the choroid in non-EDI OCT images of patients with multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S1877050922010092,3,"E López-Varela, N Barreira, NO Pascual… - Procedia Computer …, 2022 - Elsevier",sciencedirect.com,PDF
Artificial intelligence in the diagnosis of multiple sclerosis: A systematic review,https://www.sciencedirect.com/science/article/pii/S2211034822001882,14,"F Nabizadeh, S Masrouri, E Ramezannezhad… - Multiple Sclerosis and …, 2022 - Elsevier",,
A system for fully automated monitoring of lesion evolution over time in multiple sclerosis,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11597/115972D/A-system-for-fully-automated-monitoring-of-lesion-evolution-over/10.1117/12.2582156.short,4,"S Kuckertz, F Weiler, B Matusche… - Medical Imaging …, 2021 - spiedigitallibrary.org",,
Automatic framework for multiple sclerosis follow-up by magnetic resonance imaging for reducing contrast agents,https://link.springer.com/chapter/10.1007/978-3-030-30645-8_34,10,"G Placidi, L Cinque, M Polsinelli, A Splendiani… - Image Analysis and …, 2019 - Springer",,
Soft labeling by distilling anatomical knowledge for improved MS lesion segmentation,https://ieeexplore.ieee.org/abstract/document/8759518/,39,"E Kats, J Goldberger… - 2019 IEEE 16th …, 2019 - ieeexplore.ieee.org",arxiv.org,PDF
Prediction of Future Multiple Sclerosis Disease Progression Using Deep Learning Analysis of MRI Data,https://search.proquest.com/openview/fab3624898343ce113891f90c22b5d37/1?pq-origsite=gscholar&cbl=18750&diss=y,1,A Tousignant - 2022 - search.proquest.com,,
Artificial intelligence to predict clinical disability in patients with multiple sclerosis using FLAIR MRI,https://www.sciencedirect.com/science/article/pii/S2211568420301558,49,"P Roca, A Attye, L Colas, A Tucholka, P Rubini… - Diagnostic and …, 2020 - Elsevier",sciencedirect.com,HTML
